x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,0
0.005,-1.0421874999999998,8
0.005,-0.9703124999999999,49
0.005,-0.8984375,79
0.005,-0.8265624999999999,141
0.005,-0.7546875,258
0.005,-0.6828125,377
0.005,-0.6109374999999999,314
0.005,-0.5390625,309
0.005,-0.46718749999999987,330
0.005,-0.39531249999999996,363
0.005,-0.32343750000000004,600
0.005,-0.2515624999999999,1243
0.005,-0.1796875,1834
0.005,-0.10781250000000009,2958
0.005,-0.03593750000000018,4481
0.005,0.03593750000000018,4843
0.005,0.10781250000000009,3613
0.005,0.1796875,2017
0.005,0.2515624999999999,950
0.005,0.3234374999999998,737
0.005,0.3953125000000002,713
0.005,0.4671875000000001,627
0.005,0.5390625,577
0.005,0.6109374999999999,351
0.005,0.6828124999999998,433
0.005,0.7546874999999997,368
0.005,0.8265625000000001,305
0.005,0.8984375,252
0.005,0.9703124999999999,49
0.005,1.0421874999999998,28
0.005,1.1140624999999997,0
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,3
0.015,-1.1140625,29
0.015,-1.0421874999999998,135
0.015,-0.9703124999999999,228
0.015,-0.8984375,124
0.015,-0.8265624999999999,175
0.015,-0.7546875,278
0.015,-0.6828125,365
0.015,-0.6109374999999999,327
0.015,-0.5390625,371
0.015,-0.46718749999999987,358
0.015,-0.39531249999999996,398
0.015,-0.32343750000000004,646
0.015,-0.2515624999999999,1200
0.015,-0.1796875,1873
0.015,-0.10781250000000009,3268
0.015,-0.03593750000000018,4229
0.015,0.03593750000000018,4848
0.015,0.10781250000000009,3498
0.015,0.1796875,2019
0.015,0.2515624999999999,1086
0.015,0.3234374999999998,765
0.015,0.3953125000000002,719
0.015,0.4671875000000001,652
0.015,0.5390625,619
0.015,0.6109374999999999,425
0.015,0.6828124999999998,490
0.015,0.7546874999999997,428
