x,phi,count
0.005,0.08726646259971647,693
0.005,0.2617993877991494,1012
0.005,0.4363323129985824,1301
0.005,0.6108652381980153,1611
0.005,0.7853981633974483,2067
0.005,0.9599310885968811,2498
0.005,1.1344640137963142,2840
0.005,1.308996938995747,3046
0.005,1.4835298641951802,3141
0.005,1.658062789394613,3189
0.005,1.8325957145940461,3098
0.005,2.007128639793479,2718
0.005,2.181661564992912,2411
0.005,2.356194490192345,2086
0.005,2.530727415391778,1701
0.005,2.705260340591211,1291
0.005,2.879793265790644,1005
0.005,3.0543261909900767,709
0.005,3.2288591161895095,495
0.005,3.4033920413889422,335
0.005,3.577924966588375,230
0.005,3.752457891787808,179
0.005,3.9269908169872414,130
0.005,4.101523742186675,74
0.005,4.276056667386107,102
0.005,4.4505895925855405,64
0.005,4.625122517784973,55
0.005,4.799655442984406,63
0.005,4.974188368183839,56
0.005,5.148721293383272,78
0.005,5.323254218582705,99
0.005,5.497787143782138,135
0.005,5.672320068981571,178
0.005,5.8468529941810035,232
0.005,6.021385919380437,383
0.005,6.19591884457987,496
0.015,0.08726646259971647,743
0.015,0.2617993877991494,984
0.015,0.4363323129985824,1379
0.015,0.6108652381980153,1722
0.015,0.7853981633974483,2130
0.015,0.9599310885968811,2507
0.015,1.1344640137963142,2960
0.015,1.308996938995747,3285
0.015,1.4835298641951802,3322
0.015,1.658062789394613,3439
0.015,1.8325957145940461,3263
0.015,2.007128639793479,2976
0.015,2.181661564992912,2617
0.015,2.356194490192345,2199
0.015,2.530727415391778,1663
0.015,2.705260340591211,1399
0.015,2.879793265790644,1024
0.015,3.0543261909900767,739
0.015,3.2288591161895095,526
0.015,3.4033920413889422,342
0.015,3.577924966588375,260
0.015,3.752457891787808,177
0.015,3.9269908169872414,139
0.015,4.101523742186675,103
0.015,4.276056667386107,88
0.015,4.4505895925855405,78
0.015,4.625122517784973,71
0.015,4.799655442984406,60
0.015,4.974188368183839,80
0.015,5.148721293383272,88
0.015,5.323254218582705,102
0.015,5.497787143782138,127
0.015,5.672320068981571,192
0.015,5.8468529941810035,276
0.015,6.021385919380437,361
0.015,6.19591884457987,535
0.025,0.08726646259971647,724
0.025,0.2617993877991494,1081
0.025,0.4363323129985824,1442
0.025,0.6108652381980153,1867
0.025,0.7853981633974483,2355
0.025,0.9599310885968811,2699
0.025,1.1344640137963142,3168
0.025,1.308996938995747,3419
0.025,1.4835298641951802,3537
0.025,1.658062789394613,3526
0.025,1.8325957145940461,3354
0.025,2.007128639793479,3186
0.025,2.181661564992912,2709
0.025,2.356194490192345,2362
0.025,2.530727415391778,1860
0.025,2.705260340591211,1470
0.025,2.879793265790644,1057
0.025,3.0543261909900767,786
0.025,3.2288591161895095,599
0.025,3.4033920413889422,359
0.025,3.577924966588375,252
0.025,3.752457891787808,179
0.025,3.9269908169872414,135
0.025,4.101523742186675,94
0.025,4.276056667386107,100
0.025,4.4505895925855405,75
0.025,4.625122517784973,75
0.025,4.799655442984406,70
0.025,4.974188368183839,76
0.025,5.148721293383272,77
0.025,5.323254218582705,112
0.025,5.497787143782138,152
0.025,5.672320068981571,187
0.025,5.8468529941810035,273
0.025,6.021385919380437,410
0.025,6.19591884457987,516
0.035,0.08726646259971647,841
0.035,0.2617993877991494,1144
0.035,0.4363323129985824,1553
0.035,0.6108652381980153,1972
0.035,0.7853981633974483,2467
0.035,0.9599310885968811,2928
0.035,1.1344640137963142,3244
0.035,1.308996938995747,3544
0.035,1.4835298641951802,3752
0.035,1.658062789394613,3922
0.035,1.8325957145940461,3602
0.035,2.007128639793479,3363
0.035,2.181661564992912,2928
0.035,2.356194490192345,2422
0.035,2.530727415391778,1853
0.035,2.705260340591211,1512
0.035,2.879793265790644,1179
0.035,3.0543261909900767,868
0.035,3.2288591161895095,596
0.035,3.4033920413889422,403
0.035,3.577924966588375,274
0.035,3.752457891787808,229
0.035,3.9269908169872414,168
0.035,4.101523742186675,97
0.035,4.276056667386107,83
0.035,4.4505895925855405,81
0.035,4.625122517784973,79
0.035,4.799655442984406,73
0.035,4.974188368183839,74
0.035,5.148721293383272,100
0.035,5.323254218582705,113
0.035,5.497787143782138,166
0.035,5.672320068981571,204
0.035,5.8468529941810035,280
0.035,6.021385919380437,406
0.035,6.19591884457987,570
0.045,0.08726646259971647,977
0.045,0.2617993877991494,1234
0.045,0.4363323129985824,1602
0.045,0.6108652381980153,2092
0.045,0.7853981633974483,2566
0.045,0.9599310885968811,3078
0.045,1.1344640137963142,3472
0.045,1.308996938995747,3890
0.045,1.4835298641951802,4105
0.045,1.658062789394613,4031
0.045,1.8325957145940461,3874
0.045,2.007128639793479,3517
0.045,2.181661564992912,3000
0.045,2.356194490192345,2500
0.045,2.530727415391778,2126
0.045,2.705260340591211,1678
0.045,2.879793265790644,1269
0.045,3.0543261909900767,873
0.045,3.2288591161895095,621
0.045,3.4033920413889422,439
0.045,3.577924966588375,310
0.045,3.752457891787808,226
0.045,3.9269908169872414,154
0.045,4.101523742186675,121
0.045,4.276056667386107,103
0.045,4.4505895925855405,85
0.045,4.625122517784973,83
0.045,4.799655442984406,75
0.045,4.974188368183839,87
0.045,5.148721293383272,95
0.045,5.323254218582705,141
0.045,5.497787143782138,159
0.045,5.672320068981571,199
0.045,5.8468529941810035,308
0.045,6.021385919380437,459
0.045,6.19591884457987,631
0.055,0.08726646259971647,970
0.055,0.2617993877991494,1347
0.055,0.4363323129985824,1850
0.055,0.6108652381980153,2378
0.055,0.7853981633974483,2813
0.055,0.9599310885968811,3410
0.055,1.1344640137963142,3799
0.055,1.308996938995747,4228
0.055,1.4835298641951802,4430
0.055,1.658062789394613,4345
0.055,1.8325957145940461,4223
0.055,2.007128639793479,3726
0.055,2.181661564992912,3317
0.055,2.356194490192345,2795
0.055,2.530727415391778,2210
0.055,2.705260340591211,1690
0.055,2.879793265790644,1242
0.055,3.0543261909900767,976
0.055,3.2288591161895095,695
0.055,3.4033920413889422,477
0.055,3.577924966588375,316
0.055,3.752457891787808,204
0.055,3.9269908169872414,178
0.055,4.101523742186675,127
0.055,4.276056667386107,75
0.055,4.4505895925855405,96
0.055,4.625122517784973,86
0.055,4.799655442984406,99
0.055,4.974188368183839,91
0.055,5.148721293383272,98
0.055,5.323254218582705,155
0.055,5.497787143782138,213
0.055,5.672320068981571,222
0.055,5.8468529941810035,301
0.055,6.021385919380437,456
0.055,6.19591884457987,674
0.065,0.08726646259971647,1125
0.065,0.2617993877991494,1535
0.065,0.4363323129985824,1985
0.065,0.6108652381980153,2551
0.065,0.7853981633974483,3092
0.065,0.9599310885968811,3595
0.065,1.1344640137963142,4266
0.065,1.308996938995747,4565
0.065,1.4835298641951802,4924
