x,phi,count
0.005,0.08726646259971647,1510
0.005,0.2617993877991494,1582
0.005,0.4363323129985824,1783
0.005,0.6108652381980153,1841
0.005,0.7853981633974483,1900
0.005,0.9599310885968811,1928
0.005,1.1344640137963142,2089
0.005,1.308996938995747,2077
0.005,1.4835298641951802,2182
0.005,1.658062789394613,2206
0.005,1.8325957145940461,2134
0.005,2.007128639793479,1953
0.005,2.181661564992912,1901
0.005,2.356194490192345,1810
0.005,2.530727415391778,1662
0.005,2.705260340591211,1608
0.005,2.879793265790644,1490
0.005,3.0543261909900767,1286
0.005,3.2288591161895095,1192
0.005,3.4033920413889422,1115
0.005,3.577924966588375,1094
0.005,3.752457891787808,969
0.005,3.9269908169872414,933
0.005,4.101523742186675,932
0.005,4.276056667386107,834
0.005,4.4505895925855405,755
0.005,4.625122517784973,892
0.005,4.799655442984406,859
0.005,4.974188368183839,850
0.005,5.148721293383272,866
0.005,5.323254218582705,1007
0.005,5.497787143782138,1043
0.005,5.672320068981571,1069
0.005,5.8468529941810035,1168
0.005,6.021385919380437,1284
0.005,6.19591884457987,1359
0.015,0.08726646259971647,1572
0.015,0.2617993877991494,1676
0.015,0.4363323129985824,1863
0.015,0.6108652381980153,1914
0.015,0.7853981633974483,2015
0.015,0.9599310885968811,2145
0.015,1.1344640137963142,2247
0.015,1.308996938995747,2290
0.015,1.4835298641951802,2342
0.015,1.658062789394613,2433
0.015,1.8325957145940461,2272
0.015,2.007128639793479,2276
0.015,2.181661564992912,2091
0.015,2.356194490192345,1914
0.015,2.530727415391778,1724
0.015,2.705260340591211,1624
0.015,2.879793265790644,1500
0.015,3.0543261909900767,1395
0.015,3.2288591161895095,1266
0.015,3.4033920413889422,1202
0.015,3.577924966588375,1025
0.015,3.752457891787808,994
0.015,3.9269908169872414,979
0.015,4.101523742186675,941
0.015,4.276056667386107,916
0.015,4.4505895925855405,942
0.015,4.625122517784973,974
0.015,4.799655442984406,876
0.015,4.974188368183839,963
0.015,5.148721293383272,982
0.015,5.323254218582705,1062
0.015,5.497787143782138,1137
0.015,5.672320068981571,1176
0.015,5.8468529941810035,1253
0.015,6.021385919380437,1345
0.015,6.19591884457987,1433
0.025,0.08726646259971647,1624
0.025,0.2617993877991494,1842
0.025,0.4363323129985824,1938
0.025,0.6108652381980153,1979
0.025,0.7853981633974483,2068
0.025,0.9599310885968811,2184
0.025,1.1344640137963142,2341
0.025,1.308996938995747,2406
0.025,1.4835298641951802,2505
0.025,1.658062789394613,2531
0.025,1.8325957145940461,2528
0.025,2.007128639793479,2418
0.025,2.181661564992912,2206
0.025,2.356194490192345,2099
0.025,2.530727415391778,2011
0.025,2.705260340591211,1745
0.025,2.879793265790644,1728
0.025,3.0543261909900767,1561
0.025,3.2288591161895095,1418
0.025,3.4033920413889422,1200
0.025,3.577924966588375,1119
0.025,3.752457891787808,1051
0.025,3.9269908169872414,1032
0.025,4.101523742186675,956
0.025,4.276056667386107,966
0.025,4.4505895925855405,948
0.025,4.625122517784973,978
0.025,4.799655442984406,1014
0.025,4.974188368183839,1075
0.025,5.148721293383272,1031
0.025,5.323254218582705,1079
0.025,5.497787143782138,1213
0.025,5.672320068981571,1215
0.025,5.8468529941810035,1280
