x,phi,count
0.005,0.08726646259971647,1421
0.005,0.2617993877991494,1584
0.005,0.4363323129985824,1626
0.005,0.6108652381980153,1716
0.005,0.7853981633974483,1802
0.005,0.9599310885968811,1907
0.005,1.1344640137963142,1888
0.005,1.308996938995747,2027
0.005,1.4835298641951802,2020
0.005,1.658062789394613,1983
0.005,1.8325957145940461,1923
0.005,2.007128639793479,1847
0.005,2.181661564992912,1851
0.005,2.356194490192345,1745
0.005,2.530727415391778,1743
0.005,2.705260340591211,1740
0.005,2.879793265790644,1644
0.005,3.0543261909900767,1425
0.005,3.2288591161895095,1328
0.005,3.4033920413889422,1272
0.005,3.577924966588375,1099
0.005,3.752457891787808,1003
0.005,3.9269908169872414,939
0.005,4.101523742186675,874
0.005,4.276056667386107,797
0.005,4.4505895925855405,820
0.005,4.625122517784973,754
0.005,4.799655442984406,715
0.005,4.974188368183839,748
0.005,5.148721293383272,787
0.005,5.323254218582705,867
0.005,5.497787143782138,895
0.005,5.672320068981571,991
0.005,5.8468529941810035,1129
0.005,6.021385919380437,1181
0.005,6.19591884457987,1306
0.015,0.08726646259971647,1529
0.015,0.2617993877991494,1608
0.015,0.4363323129985824,1782
0.015,0.6108652381980153,1759
0.015,0.7853981633974483,1902
0.015,0.9599310885968811,1878
0.015,1.1344640137963142,1990
0.015,1.308996938995747,2054
0.015,1.4835298641951802,2094
0.015,1.658062789394613,2116
0.015,1.8325957145940461,1993
0.015,2.007128639793479,1880
0.015,2.181661564992912,1915
0.015,2.356194490192345,1978
0.015,2.530727415391778,1847
0.015,2.705260340591211,1726
0.015,2.879793265790644,1651
0.015,3.0543261909900767,1608
0.015,3.2288591161895095,1445
0.015,3.4033920413889422,1314
0.015,3.577924966588375,1140
0.015,3.752457891787808,1089
0.015,3.9269908169872414,1026
0.015,4.101523742186675,916
0.015,4.276056667386107,885
0.015,4.4505895925855405,872
0.015,4.625122517784973,864
0.015,4.799655442984406,825
0.015,4.974188368183839,830
0.015,5.148721293383272,909
0.015,5.323254218582705,900
0.015,5.497787143782138,1013
0.015,5.672320068981571,1059
0.015,5.8468529941810035,1154
0.015,6.021385919380437,1266
0.015,6.19591884457987,1413
0.025,0.08726646259971647,1596
0.025,0.2617993877991494,1668
0.025,0.4363323129985824,1862
0.025,0.6108652381980153,1965
0.025,0.7853981633974483,1913
0.025,0.9599310885968811,2046
0.025,1.1344640137963142,2132
0.025,1.308996938995747,2239
0.025,1.4835298641951802,2178
0.025,1.658062789394613,2306
0.025,1.8325957145940461,2200
0.025,2.007128639793479,2193
0.025,2.181661564992912,2104
0.025,2.356194490192345,2003
0.025,2.530727415391778,1901
0.025,2.705260340591211,1927
0.025,2.879793265790644,1846
0.025,3.0543261909900767,1757
0.025,3.2288591161895095,1488
0.025,3.4033920413889422,1440
0.025,3.577924966588375,1270
0.025,3.752457891787808,1147
0.025,3.9269908169872414,1012
0.025,4.101523742186675,962
0.025,4.276056667386107,978
0.025,4.4505895925855405,961
0.025,4.625122517784973,942
0.025,4.799655442984406,974
0.025,4.974188368183839,935
0.025,5.148721293383272,900
0.025,5.323254218582705,914
0.025,5.497787143782138,989
0.025,5.672320068981571,1065
0.025,5.8468529941810035,1182
0.025,6.021385919380437,1336
0.025,6.19591884457987,1486
0.035,0.08726646259971647,1681
0.035,0.2617993877991494,1768
0.035,0.4363323129985824,2008
0.035,0.6108652381980153,2132
0.035,0.7853981633974483,2046
0.035,0.9599310885968811,2180
0.035,1.1344640137963142,2251
0.035,1.308996938995747,2282
0.035,1.4835298641951802,2286
0.035,1.658062789394613,2347
0.035,1.8325957145940461,2294
0.035,2.007128639793479,2310
0.035,2.181661564992912,2133
0.035,2.356194490192345,2131
0.035,2.530727415391778,2006
0.035,2.705260340591211,1946
0.035,2.879793265790644,1815
0.035,3.0543261909900767,1747
0.035,3.2288591161895095,1557
0.035,3.4033920413889422,1476
0.035,3.577924966588375,1311
0.035,3.752457891787808,1179
0.035,3.9269908169872414,1110
0.035,4.101523742186675,1067
0.035,4.276056667386107,974
0.035,4.4505895925855405,985
0.035,4.625122517784973,1033
0.035,4.799655442984406,1036
0.035,4.974188368183839,1048
0.035,5.148721293383272,1001
0.035,5.323254218582705,1000
0.035,5.497787143782138,1008
0.035,5.672320068981571,1142
0.035,5.8468529941810035,1288
0.035,6.021385919380437,1437
0.035,6.19591884457987,1585
0.045,0.08726646259971647,1809
0.045,0.2617993877991494,1965
0.045,0.4363323129985824,2169
0.045,0.6108652381980153,2242
0.045,0.7853981633974483,2228
0.045,0.9599310885968811,2312
0.045,1.1344640137963142,2461
0.045,1.308996938995747,2463
0.045,1.4835298641951802,2337
0.045,1.658062789394613,2456
0.045,1.8325957145940461,2344
0.045,2.007128639793479,2394
0.045,2.181661564992912,2256
0.045,2.356194490192345,2209
0.045,2.530727415391778,2279
0.045,2.705260340591211,1980
0.045,2.879793265790644,1956
0.045,3.0543261909900767,1834
0.045,3.2288591161895095,1698
0.045,3.4033920413889422,1532
0.045,3.577924966588375,1387
0.045,3.752457891787808,1357
0.045,3.9269908169872414,1157
