x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,1
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,1
0.005,-1.1140625,4
0.005,-1.0421874999999998,127
0.005,-0.9703124999999999,279
0.005,-0.8984375,484
0.005,-0.8265624999999999,641
0.005,-0.7546875,1116
0.005,-0.6828125,1106
0.005,-0.6109374999999999,1092
0.005,-0.5390625,1067
0.005,-0.46718749999999987,1262
0.005,-0.39531249999999996,1779
0.005,-0.32343750000000004,1907
0.005,-0.2515624999999999,2914
0.005,-0.1796875,4081
0.005,-0.10781250000000009,5507
0.005,-0.03593750000000018,7226
0.005,0.03593750000000018,6935
0.005,0.10781250000000009,5602
0.005,0.1796875,4238
0.005,0.2515624999999999,2892
0.005,0.3234374999999998,2238
0.005,0.3953125000000002,1773
0.005,0.4671875000000001,1211
0.005,0.5390625,1124
0.005,0.6109374999999999,920
0.005,0.6828124999999998,749
0.005,0.7546874999999997,665
0.005,0.8265625000000001,500
0.005,0.8984375,756
0.005,0.9703124999999999,384
0.005,1.0421874999999998,117
0.005,1.1140624999999997,12
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,1
0.015,-1.2578125,4
0.015,-1.1859374999999999,23
0.015,-1.1140625,138
0.015,-1.0421874999999998,420
0.015,-0.9703124999999999,584
0.015,-0.8984375,817
0.015,-0.8265624999999999,957
0.015,-0.7546875,1099
0.015,-0.6828125,1102
0.015,-0.6109374999999999,1106
0.015,-0.5390625,1200
0.015,-0.46718749999999987,1362
0.015,-0.39531249999999996,1947
0.015,-0.32343750000000004,1970
0.015,-0.2515624999999999,3090
0.015,-0.1796875,4402
0.015,-0.10781250000000009,5819
0.015,-0.03593750000000018,6838
0.015,0.03593750000000018,6683
0.015,0.10781250000000009,5833
0.015,0.1796875,4512
0.015,0.2515624999999999,3226
0.015,0.3234374999999998,2600
0.015,0.3953125000000002,1889
0.015,0.4671875000000001,1222
0.015,0.5390625,1244
0.015,0.6109374999999999,862
