x,phi,count
0.005,0.08726646259971647,4176
0.005,0.2617993877991494,4434
0.005,0.4363323129985824,3213
0.005,0.6108652381980153,1780
0.005,0.7853981633974483,766
0.005,0.9599310885968811,327
0.005,1.1344640137963142,125
0.005,1.308996938995747,69
0.005,1.4835298641951802,33
0.005,1.658062789394613,44
0.005,1.8325957145940461,56
0.005,2.007128639793479,117
0.005,2.181661564992912,273
0.005,2.356194490192345,717
0.005,2.530727415391778,1752
0.005,2.705260340591211,3196
0.005,2.879793265790644,4491
0.005,3.0543261909900767,4162
0.005,3.2288591161895095,2556
0.005,3.4033920413889422,1042
0.005,3.577924966588375,273
0.005,3.752457891787808,61
0.005,3.9269908169872414,8
0.005,4.101523742186675,5
0.005,4.276056667386107,0
0.005,4.4505895925855405,5
0.005,4.625122517784973,4
0.005,4.799655442984406,1
0.005,4.974188368183839,3
0.005,5.148721293383272,1
0.005,5.323254218582705,2
0.005,5.497787143782138,10
0.005,5.672320068981571,59
0.005,5.8468529941810035,275
0.005,6.021385919380437,954
0.005,6.19591884457987,2577
0.015,0.08726646259971647,4456
0.015,0.2617993877991494,4838
0.015,0.4363323129985824,3545
0.015,0.6108652381980153,1909
0.015,0.7853981633974483,821
0.015,0.9599310885968811,344
0.015,1.1344640137963142,149
0.015,1.308996938995747,67
0.015,1.4835298641951802,41
0.015,1.658062789394613,36
0.015,1.8325957145940461,64
0.015,2.007128639793479,122
0.015,2.181661564992912,315
0.015,2.356194490192345,786
0.015,2.530727415391778,1743
0.015,2.705260340591211,3285
0.015,2.879793265790644,4609
0.015,3.0543261909900767,4345
0.015,3.2288591161895095,2692
0.015,3.4033920413889422,995
0.015,3.577924966588375,251
0.015,3.752457891787808,77
0.015,3.9269908169872414,26
0.015,4.101523742186675,3
0.015,4.276056667386107,2
0.015,4.4505895925855405,1
0.015,4.625122517784973,4
0.015,4.799655442984406,2
0.015,4.974188368183839,2
0.015,5.148721293383272,1
0.015,5.323254218582705,4
0.015,5.497787143782138,14
0.015,5.672320068981571,73
0.015,5.8468529941810035,310
0.015,6.021385919380437,1126
0.015,6.19591884457987,2773
0.025,0.08726646259971647,4759
0.025,0.2617993877991494,5078
0.025,0.4363323129985824,3682
0.025,0.6108652381980153,1987
0.025,0.7853981633974483,821
0.025,0.9599310885968811,333
0.025,1.1344640137963142,144
0.025,1.308996938995747,66
0.025,1.4835298641951802,39
0.025,1.658062789394613,57
0.025,1.8325957145940461,85
0.025,2.007128639793479,163
0.025,2.181661564992912,356
0.025,2.356194490192345,854
0.025,2.530727415391778,1808
0.025,2.705260340591211,3475
0.025,2.879793265790644,4972
0.025,3.0543261909900767,4497
0.025,3.2288591161895095,2786
0.025,3.4033920413889422,1093
0.025,3.577924966588375,293
0.025,3.752457891787808,65
0.025,3.9269908169872414,28
0.025,4.101523742186675,11
0.025,4.276056667386107,7
0.025,4.4505895925855405,2
0.025,4.625122517784973,2
0.025,4.799655442984406,2
0.025,4.974188368183839,0
0.025,5.148721293383272,1
0.025,5.323254218582705,0
0.025,5.497787143782138,12
0.025,5.672320068981571,80
0.025,5.8468529941810035,323
0.025,6.021385919380437,1109
0.025,6.19591884457987,2835
0.035,0.08726646259971647,4913
0.035,0.2617993877991494,5405
0.035,0.4363323129985824,3761
0.035,0.6108652381980153,1986
0.035,0.7853981633974483,854
0.035,0.9599310885968811,356
0.035,1.1344640137963142,164
0.035,1.308996938995747,85
