x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,0
0.005,-1.0421874999999998,0
0.005,-0.9703124999999999,4
0.005,-0.8984375,38
0.005,-0.8265624999999999,30
0.005,-0.7546875,48
0.005,-0.6828125,23
0.005,-0.6109374999999999,27
0.005,-0.5390625,60
0.005,-0.46718749999999987,53
0.005,-0.39531249999999996,89
0.005,-0.32343750000000004,79
0.005,-0.2515624999999999,173
0.005,-0.1796875,387
0.005,-0.10781250000000009,1065
0.005,-0.03593750000000018,2267
0.005,0.03593750000000018,2297
0.005,0.10781250000000009,988
0.005,0.1796875,279
0.005,0.2515624999999999,138
0.005,0.3234374999999998,69
0.005,0.3953125000000002,52
0.005,0.4671875000000001,29
0.005,0.5390625,17
0.005,0.6109374999999999,29
0.005,0.6828124999999998,27
0.005,0.7546874999999997,90
0.005,0.8265625000000001,14
0.005,0.8984375,0
0.005,0.9703124999999999,2
0.005,1.0421874999999998,0
0.005,1.1140624999999997,2
0.005,1.1859375,1
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,0
0.015,-1.1859374999999999,0
0.015,-1.1140625,5
0.015,-1.0421874999999998,7
0.015,-0.9703124999999999,6
0.015,-0.8984375,43
0.015,-0.8265624999999999,31
0.015,-0.7546875,49
0.015,-0.6828125,16
0.015,-0.6109374999999999,30
0.015,-0.5390625,69
0.015,-0.46718749999999987,70
0.015,-0.39531249999999996,108
0.015,-0.32343750000000004,63
0.015,-0.2515624999999999,138
0.015,-0.1796875,354
0.015,-0.10781250000000009,999
0.015,-0.03593750000000018,2335
0.015,0.03593750000000018,2351
0.015,0.10781250000000009,1046
0.015,0.1796875,296
0.015,0.2515624999999999,162
0.015,0.3234374999999998,58
0.015,0.3953125000000002,33
0.015,0.4671875000000001,26
0.015,0.5390625,10
0.015,0.6109374999999999,34
0.015,0.6828124999999998,42
0.015,0.7546874999999997,92
