x,phi,count
0.005,0.08726646259971647,9180
0.005,0.2617993877991494,10859
0.005,0.4363323129985824,12026
0.005,0.6108652381980153,13100
0.005,0.7853981633974483,13987
0.005,0.9599310885968811,14753
0.005,1.1344640137963142,15489
0.005,1.308996938995747,15768
0.005,1.4835298641951802,16125
0.005,1.658062789394613,16165
0.005,1.8325957145940461,15833
0.005,2.007128639793479,15704
0.005,2.181661564992912,15049
0.005,2.356194490192345,14337
0.005,2.530727415391778,13362
0.005,2.705260340591211,12298
0.005,2.879793265790644,10929
0.005,3.0543261909900767,9314
0.005,3.2288591161895095,7939
0.005,3.4033920413889422,6178
0.005,3.577924966588375,5194
0.005,3.752457891787808,4132
0.005,3.9269908169872414,3567
0.005,4.101523742186675,3045
0.005,4.276056667386107,2541
0.005,4.4505895925855405,2396
0.005,4.625122517784973,2344
0.005,4.799655442984406,2274
0.005,4.974188368183839,2446
0.005,5.148721293383272,2590
0.005,5.323254218582705,2973
0.005,5.497787143782138,3543
0.005,5.672320068981571,4226
0.005,5.8468529941810035,5266
0.005,6.021385919380437,6422
0.005,6.19591884457987,7695
0.015,0.08726646259971647,10427
0.015,0.2617993877991494,12083
0.015,0.4363323129985824,13701
0.015,0.6108652381980153,15158
0.015,0.7853981633974483,15991
0.015,0.9599310885968811,16756
0.015,1.1344640137963142,17403
0.015,1.308996938995747,17863
0.015,1.4835298641951802,18367
0.015,1.658062789394613,18293
0.015,1.8325957145940461,17895
0.015,2.007128639793479,17829
0.015,2.181661564992912,16918
0.015,2.356194490192345,15971
0.015,2.530727415391778,15289
0.015,2.705260340591211,13752
0.015,2.879793265790644,12113
0.015,3.0543261909900767,10526
0.015,3.2288591161895095,8939
0.015,3.4033920413889422,7309
0.015,3.577924966588375,6089
0.015,3.752457891787808,4947
0.015,3.9269908169872414,3945
0.015,4.101523742186675,3387
0.015,4.276056667386107,3009
0.015,4.4505895925855405,2719
0.015,4.625122517784973,2650
0.015,4.799655442984406,2588
0.015,4.974188368183839,2750
0.015,5.148721293383272,2861
0.015,5.323254218582705,3389
0.015,5.497787143782138,3935
0.015,5.672320068981571,4771
0.015,5.8468529941810035,5977
0.015,6.021385919380437,7142
0.015,6.19591884457987,8762
0.025,0.08726646259971647,11848
