x,y,count
0.005,-2.2640624999999996,0
0.005,-2.1921874999999997,0
0.005,-2.1203125,0
0.005,-2.0484375,0
0.005,-1.9765624999999998,0
0.005,-1.9046874999999999,0
0.005,-1.8328124999999997,0
0.005,-1.7609374999999998,0
0.005,-1.6890625,0
0.005,-1.6171875,0
0.005,-1.5453124999999999,0
0.005,-1.4734374999999997,0
0.005,-1.4015624999999998,0
0.005,-1.3296875,0
0.005,-1.2578125,0
0.005,-1.1859374999999999,0
0.005,-1.1140625,0
0.005,-1.0421874999999998,0
0.005,-0.9703124999999999,6
0.005,-0.8984375,19
0.005,-0.8265624999999999,48
0.005,-0.7546875,68
0.005,-0.6828125,22
0.005,-0.6109374999999999,15
0.005,-0.5390625,27
0.005,-0.46718749999999987,83
0.005,-0.39531249999999996,139
0.005,-0.32343750000000004,149
0.005,-0.2515624999999999,293
0.005,-0.1796875,831
0.005,-0.10781250000000009,2088
0.005,-0.03593750000000018,3380
0.005,0.03593750000000018,3273
0.005,0.10781250000000009,1849
0.005,0.1796875,757
0.005,0.2515624999999999,344
0.005,0.3234374999999998,213
0.005,0.3953125000000002,151
0.005,0.4671875000000001,83
0.005,0.5390625,50
0.005,0.6109374999999999,39
0.005,0.6828124999999998,29
0.005,0.7546874999999997,18
0.005,0.8265625000000001,5
0.005,0.8984375,17
0.005,0.9703124999999999,49
0.005,1.0421874999999998,0
0.005,1.1140624999999997,0
0.005,1.1859375,0
0.005,1.2578125,0
0.005,1.3296875,0
0.005,1.4015624999999998,0
0.005,1.4734374999999997,0
0.005,1.5453125,0
0.005,1.6171875,0
0.005,1.6890625,0
0.005,1.7609374999999998,0
0.005,1.8328125000000002,0
0.005,1.9046874999999996,0
0.005,1.9765625,0
0.005,2.0484374999999995,0
0.005,2.1203125,0
0.005,2.1921875,0
0.005,2.2640624999999996,0
0.015,-2.2640624999999996,0
0.015,-2.1921874999999997,0
0.015,-2.1203125,0
0.015,-2.0484375,0
0.015,-1.9765624999999998,0
0.015,-1.9046874999999999,0
0.015,-1.8328124999999997,0
0.015,-1.7609374999999998,0
0.015,-1.6890625,0
0.015,-1.6171875,0
0.015,-1.5453124999999999,0
0.015,-1.4734374999999997,0
0.015,-1.4015624999999998,0
0.015,-1.3296875,0
0.015,-1.2578125,12
0.015,-1.1859374999999999,1
0.015,-1.1140625,0
0.015,-1.0421874999999998,0
0.015,-0.9703124999999999,4
0.015,-0.8984375,40
0.015,-0.8265624999999999,58
0.015,-0.7546875,63
0.015,-0.6828125,35
0.015,-0.6109374999999999,36
0.015,-0.5390625,25
0.015,-0.46718749999999987,87
0.015,-0.39531249999999996,108
0.015,-0.32343750000000004,138
0.015,-0.2515624999999999,366
0.015,-0.1796875,816
0.015,-0.10781250000000009,1851
0.015,-0.03593750000000018,2987
0.015,0.03593750000000018,3194
0.015,0.10781250000000009,1824
0.015,0.1796875,746
0.015,0.2515624999999999,358
0.015,0.3234374999999998,180
0.015,0.3953125000000002,168
0.015,0.4671875000000001,103
0.015,0.5390625,38
0.015,0.6109374999999999,46
0.015,0.6828124999999998,66
0.015,0.7546874999999997,36
